OrigDate,Price,Open,High,Low,Vol.,Change %,Date
01/30/2024,43.51,43.51,43.51,43.51,,0.00%,2024-01-30
01/29/2024,43.51,43.51,43.51,43.51,,0.01%,2024-01-29
01/26/2024,43.5,43.5,43.5,43.5,,3.50%,2024-01-26
01/25/2024,42.03,42.03,42.03,42.03,,-2.60%,2024-01-25
01/24/2024,43.15,43.15,43.15,43.15,,-0.73%,2024-01-24
01/23/2024,43.47,43.47,43.47,43.47,,-0.53%,2024-01-23
01/22/2024,43.7,43.7,43.7,43.7,,0.02%,2024-01-22
01/19/2024,43.69,43.69,43.69,43.69,,4.87%,2024-01-19
01/18/2024,41.66,41.66,41.66,41.66,,0.58%,2024-01-18
01/17/2024,41.42,41.42,41.42,41.42,,0.53%,2024-01-17
01/16/2024,41.2,41.2,41.2,41.2,,0.35%,2024-01-16
01/15/2024,41.06,41.06,41.06,41.06,,-0.92%,2024-01-15
45627,41.44,41.44,41.44,41.44,,-0.10%,2024-12-01
45597,41.48,41.48,41.48,41.48,,-0.88%,2024-11-01
45566,41.85,41.85,41.85,41.85,,-0.30%,2024-10-01
45536,41.97,41.97,41.97,41.97,,-0.65%,2024-09-01
45505,42.25,42.25,42.25,42.25,,-2.45%,2024-08-01
45413,43.31,43.31,43.31,43.31,,2.51%,2024-05-01
45383,42.25,42.25,42.25,42.25,,1.91%,2024-04-01
45352,41.46,41.46,41.46,41.46,,-0.82%,2024-03-01
45323,41.8,41.8,41.8,41.8,,-4.19%,2024-02-01
12/29/2023,43.63,43.63,43.63,43.63,,4.91%,2023-12-29
12/28/2023,41.59,41.59,41.59,41.59,,0.17%,2023-12-28
12/27/2023,41.52,41.52,41.52,41.52,,0.16%,2023-12-27
12/26/2023,41.45,41.45,41.45,41.45,,-1.12%,2023-12-26
12/25/2023,41.92,41.92,41.92,41.92,,-1.06%,2023-12-25
12/22/2023,42.37,42.37,42.37,42.37,,8.98%,2023-12-22
12/21/2023,38.88,38.88,38.88,38.88,,-0.44%,2023-12-21
12/20/2023,39.05,39.05,39.05,39.05,,0.41%,2023-12-20
12/19/2023,38.89,38.89,38.89,38.89,,-0.61%,2023-12-19
12/18/2023,39.13,39.13,39.13,39.13,,-2.23%,2023-12-18
12/15/2023,40.02,40.02,40.02,40.02,,-0.27%,2023-12-15
12/14/2023,40.13,40.13,40.13,40.13,,0.02%,2023-12-14
12/13/2023,40.12,40.12,40.12,40.12,,-0.94%,2023-12-13
45272,40.5,40.5,40.5,40.5,,-1.10%,2023-12-12
45242,40.95,40.95,40.95,40.95,,-0.87%,2023-11-12
45150,41.31,41.31,41.31,41.31,,5.41%,2023-08-12
45119,39.19,39.19,39.19,39.19,,-0.73%,2023-07-12
45089,39.48,39.48,39.48,39.48,,-3.82%,2023-06-12
45058,41.04,41.04,41.04,41.04,,-0.95%,2023-05-12
45028,41.44,41.44,41.44,41.44,,-0.10%,2023-04-12
44938,41.48,41.48,41.48,41.48,,0.08%,2023-01-12
11/30/2023,41.45,41.45,41.45,41.45,,3.26%,2023-11-30
11/29/2023,40.14,40.14,40.14,40.14,,1.36%,2023-11-29
11/28/2023,39.6,39.6,39.6,39.6,,-0.14%,2023-11-28
11/27/2023,39.65,39.65,39.65,39.65,,-0.29%,2023-11-27
11/24/2023,39.77,39.77,39.77,39.77,,15.64%,2023-11-24
11/23/2023,34.39,34.39,34.39,34.39,,-3.10%,2023-11-23
11/22/2023,35.49,35.49,35.49,35.49,,-1.44%,2023-11-22
11/21/2023,36.01,36.01,36.01,36.01,,-0.91%,2023-11-21
11/20/2023,36.34,36.34,36.34,36.34,,-0.38%,2023-11-20
11/17/2023,36.48,36.48,36.48,36.48,,0.77%,2023-11-17
11/16/2023,36.2,36.2,36.2,36.2,,0.17%,2023-11-16
11/15/2023,36.14,36.14,36.14,36.14,,-0.15%,2023-11-15
11/14/2023,36.19,36.19,36.19,36.19,,0.09%,2023-11-14
11/13/2023,36.16,36.16,36.16,36.16,,-0.87%,2023-11-13
45210,36.48,36.48,36.48,36.48,,8.86%,2023-10-11
45180,33.51,33.51,33.51,33.51,,-0.83%,2023-09-11
45149,33.79,33.79,33.79,33.79,,-1.06%,2023-08-11
45118,34.15,34.15,34.15,34.15,,0.00%,2023-07-11
45088,34.15,34.15,34.15,34.15,,0.06%,2023-06-11
44996,34.13,34.13,34.13,34.13,,-0.11%,2023-03-11
44968,34.17,34.17,34.17,34.17,,0.86%,2023-02-11
44937,33.88,33.88,33.88,33.88,,1.03%,2023-01-11
10/31/2023,33.53,33.53,33.53,33.53,,0.06%,2023-10-31
10/30/2023,33.51,33.51,33.51,33.51,,-0.03%,2023-10-30
10/27/2023,33.52,33.52,33.52,33.52,,17.57%,2023-10-27
10/26/2023,28.51,28.51,28.51,28.51,,-0.45%,2023-10-26
10/25/2023,28.64,28.64,28.64,28.64,,-0.17%,2023-10-25
10/24/2023,28.69,28.69,28.69,28.69,,-0.31%,2023-10-24
10/23/2023,28.78,28.78,28.78,28.78,,-3.33%,2023-10-23
10/20/2023,29.77,29.77,29.77,29.77,,0.03%,2023-10-20
10/19/2023,29.76,29.76,29.76,29.76,,2.59%,2023-10-19
10/18/2023,29.01,29.01,29.01,29.01,,1.19%,2023-10-18
10/17/2023,28.67,28.67,28.67,28.67,,-1.47%,2023-10-17
10/16/2023,29.1,29.1,29.1,29.1,,-5.99%,2023-10-16
10/13/2023,30.95,30.95,30.95,30.95,,7.24%,2023-10-13
45270,28.86,28.86,28.86,28.86,,0.38%,2023-12-10
45240,28.75,28.75,28.75,28.75,,-2.03%,2023-11-10
45209,29.35,29.35,29.35,29.35,,-0.12%,2023-10-10
45179,29.38,29.38,29.38,29.38,,-2.23%,2023-09-10
45087,30.05,30.05,30.05,30.05,,1.36%,2023-06-10
45056,29.65,29.65,29.65,29.65,,-2.93%,2023-05-10
45026,30.54,30.54,30.54,30.54,,-1.82%,2023-04-10
44995,31.11,31.11,31.11,31.11,,-1.21%,2023-03-10
44967,31.49,31.49,31.49,31.49,,-0.03%,2023-02-10
09/29/2023,31.5,31.5,31.5,31.5,,10.53%,2023-09-29
09/28/2023,28.5,28.5,28.5,28.5,,0.00%,2023-09-28
09/27/2023,28.5,28.5,28.5,28.5,,0.00%,2023-09-27
09/26/2023,28.5,28.5,28.5,28.5,,0.00%,2023-09-26
09/25/2023,28.5,28.5,28.5,28.5,,0.00%,2023-09-25
09/22/2023,28.5,28.5,28.5,28.5,,7.55%,2023-09-22
09/21/2023,26.5,26.5,26.5,26.5,,0.00%,2023-09-21
09/20/2023,26.5,26.5,26.5,26.5,,0.00%,2023-09-20
09/19/2023,26.5,26.5,26.5,26.5,,0.00%,2023-09-19
09/18/2023,26.5,26.5,26.5,26.5,,0.00%,2023-09-18
09/15/2023,26.5,26.5,26.5,26.5,,0.76%,2023-09-15
09/14/2023,26.3,26.3,26.3,26.3,,0.23%,2023-09-14
09/13/2023,26.24,26.24,26.24,26.24,,-0.39%,2023-09-13
45269,26.34,26.34,26.34,26.34,,-0.33%,2023-12-09
45239,26.43,26.43,26.43,26.43,,0.57%,2023-11-09
45147,26.28,26.28,26.28,26.28,,-0.27%,2023-08-09
45116,26.35,26.35,26.35,26.35,,-0.26%,2023-07-09
45086,26.42,26.42,26.42,26.42,,-0.13%,2023-06-09
45055,26.45,26.45,26.45,26.45,,0.08%,2023-05-09
45025,26.43,26.43,26.43,26.43,,0.08%,2023-04-09
44935,26.41,26.41,26.41,26.41,,11.35%,2023-01-09
08/31/2023,23.72,23.72,23.72,23.72,,-3.45%,2023-08-31
08/29/2023,24.57,24.57,24.57,24.57,,2.42%,2023-08-29
08/28/2023,23.99,23.99,23.99,23.99,,0.49%,2023-08-28
08/25/2023,23.87,23.87,23.87,23.87,,25.63%,2023-08-25
08/24/2023,19,19,19,19,,0.00%,2023-08-24
08/23/2023,19,19,19,19,,0.05%,2023-08-23
08/22/2023,18.99,18.99,18.99,18.99,,0.00%,2023-08-22
08/21/2023,18.99,18.99,18.99,18.99,,0.91%,2023-08-21
08/18/2023,18.82,18.82,18.82,18.82,,2.67%,2023-08-18
08/17/2023,18.33,18.33,18.33,18.33,,0.11%,2023-08-17
08/16/2023,18.31,18.31,18.31,18.31,,1.95%,2023-08-16
08/15/2023,17.96,17.96,17.96,17.96,,0.50%,2023-08-15
08/14/2023,17.87,17.87,17.87,17.87,,-1.92%,2023-08-14
45238,18.22,18.22,18.22,18.22,,7.68%,2023-11-08
45207,16.92,16.92,16.92,16.92,,2.21%,2023-10-08
45177,16.55,16.55,16.55,16.55,,0.34%,2023-09-08
45146,16.5,16.5,16.5,16.5,,-4.08%,2023-08-08
45115,17.2,17.2,17.2,17.2,,-4.34%,2023-07-08
45024,17.98,17.98,17.98,17.98,,12.30%,2023-04-08
44993,16.01,16.01,16.01,16.01,,0.00%,2023-03-08
44965,16.01,16.01,16.01,16.01,,-1.85%,2023-02-08
44934,16.31,16.31,16.31,16.31,,-2.09%,2023-01-08
07/31/2023,16.66,16.66,16.66,16.66,,1.65%,2023-07-31
07/28/2023,16.39,16.39,16.39,16.39,,0.92%,2023-07-28
07/27/2023,16.24,16.24,16.24,16.24,,0.37%,2023-07-27
07/26/2023,16.18,16.18,16.18,16.18,,0.94%,2023-07-26
07/25/2023,16.03,16.03,16.03,16.03,,-0.46%,2023-07-25
07/24/2023,16.1,16.1,16.1,16.1,,-0.41%,2023-07-24
07/21/2023,16.17,16.17,16.17,16.17,,19.69%,2023-07-21
07/20/2023,13.51,13.51,13.51,13.51,,0.05%,2023-07-20
07/19/2023,13.5,13.5,13.5,13.5,,0.00%,2023-07-19
07/18/2023,13.5,13.5,13.5,13.5,,0.00%,2023-07-18
07/17/2023,13.51,13.51,13.51,13.51,,-0.39%,2023-07-17
07/14/2023,13.56,13.56,13.56,13.56,,0.15%,2023-07-14
07/13/2023,13.54,13.54,13.54,13.54,,-2.75%,2023-07-13
45267,13.92,13.92,13.92,13.92,,-4.49%,2023-12-07
45237,14.58,14.58,14.58,14.58,,-10.42%,2023-11-07
45206,16.27,16.27,16.27,16.27,,-1.01%,2023-10-07
45114,16.44,16.44,16.44,16.44,,8.73%,2023-07-07
45084,15.12,15.12,15.12,15.12,,2.30%,2023-06-07
45053,14.78,14.78,14.78,14.78,,-8.54%,2023-05-07
45023,16.16,16.16,16.16,16.16,,-1.61%,2023-04-07
44992,16.42,16.42,16.42,16.42,,-0.16%,2023-03-07
06/27/2023,16.45,16.45,16.45,16.45,,-0.25%,2023-06-27
06/26/2023,16.49,16.49,16.49,16.49,,0.68%,2023-06-26
06/23/2023,16.38,16.38,16.38,16.38,,75.75%,2023-06-23
06/22/2023,9.32,9.32,9.32,9.32,,10.30%,2023-06-22
06/21/2023,8.45,8.45,8.45,8.45,,3.60%,2023-06-21
06/20/2023,8.16,8.16,8.16,8.16,,-12.88%,2023-06-20
06/19/2023,9.36,9.36,9.36,9.36,,-6.32%,2023-06-19
06/16/2023,9.99,9.99,9.99,9.99,,0.00%,2023-06-16
06/15/2023,10,10,10,10,,0.00%,2023-06-15
06/14/2023,10,10,10,10,,0.00%,2023-06-14
06/13/2023,10,10,10,10,,0.00%,2023-06-13
45266,10,10,10,10,,0.00%,2023-12-06
45175,10,10,10,10,,0.00%,2023-09-06
45144,10,10,10,10,,0.00%,2023-08-06
45113,10,10,10,10,,0.00%,2023-07-06
45083,10,10,10,10,,0.00%,2023-06-06
45052,10,10,10,10,,0.00%,2023-05-06
44963,10,10,10,10,,0.00%,2023-02-06
44932,10,10,10,10,,0.00%,2023-01-06
05/31/2023,10,10,10,10,,0.00%,2023-05-31
05/30/2023,10,10,10,10,,0.00%,2023-05-30
05/29/2023,10,10,10,10,,0.00%,2023-05-29
05/26/2023,10,10,10,10,,0.00%,2023-05-26
05/25/2023,10,10,10,10,,0.00%,2023-05-25
05/24/2023,10,10,10,10,,0.00%,2023-05-24
05/23/2023,10,10,10,10,,0.00%,2023-05-23
05/22/2023,10,10,10,10,,0.00%,2023-05-22
05/18/2023,10,10,10,10,,0.00%,2023-05-18
05/17/2023,10,10,10,10,,0.00%,2023-05-17
05/16/2023,10,10,10,10,,0.00%,2023-05-16
05/15/2023,10,10,10,10,,0.00%,2023-05-15
45265,10,10,10,10,,0.00%,2023-12-05
45235,10,10,10,10,,0.00%,2023-11-05
45204,10,10,10,10,,0.00%,2023-10-05
45174,10,10,10,10,,0.00%,2023-09-05
45143,9.99,9.99,9.99,9.99,,0.00%,2023-08-05
45051,9.99,9.99,9.99,9.99,,0.00%,2023-05-05
45021,9.99,9.99,9.99,9.99,,0.00%,2023-04-05
44990,9.99,9.99,9.99,9.99,,0.00%,2023-03-05
44962,10,10,10,10,,0.00%,2023-02-05
04/28/2023,10,10,10,10,,0.00%,2023-04-28
04/27/2023,9.99,9.99,9.99,9.99,,0.11%,2023-04-27
04/26/2023,9.98,9.98,9.98,9.98,,-0.11%,2023-04-26
04/25/2023,9.99,9.99,9.99,9.99,,0.00%,2023-04-25
04/24/2023,9.99,9.99,9.99,9.99,,0.00%,2023-04-24
04/20/2023,10,10,10,10,,0.06%,2023-04-20
04/19/2023,9.99,9.99,9.99,9.99,,3.53%,2023-04-19
04/18/2023,9.65,9.65,9.65,9.65,,2.40%,2023-04-18
04/17/2023,9.43,9.43,9.43,9.43,,-2.91%,2023-04-17
04/14/2023,9.71,9.71,9.71,9.71,,4.77%,2023-04-14
04/13/2023,9.27,9.27,9.27,9.27,,-4.23%,2023-04-13
45264,9.67,9.67,9.67,9.67,,2.54%,2023-12-04
45234,9.44,9.44,9.44,9.44,,0.42%,2023-11-04
45203,9.4,9.4,9.4,9.4,,2.97%,2023-10-04
45111,9.12,9.12,9.12,9.12,,0.00%,2023-07-04
45081,9.13,9.13,9.13,9.13,,6.25%,2023-06-04
45050,8.59,8.59,8.59,8.59,,-6.03%,2023-05-04
45020,9.14,9.14,9.14,9.14,,-1.11%,2023-04-04
44989,9.25,9.25,9.25,9.25,,-2.19%,2023-03-04
03/31/2023,9.45,9.45,9.45,9.45,,4.36%,2023-03-31
03/30/2023,9.06,9.06,9.06,9.06,,-1.41%,2023-03-30
03/29/2023,9.19,9.19,9.19,9.19,,2.13%,2023-03-29
03/28/2023,9,9,9,9,,0.09%,2023-03-28
03/27/2023,8.99,8.99,8.99,8.99,,-1.67%,2023-03-27
03/24/2023,9.14,9.14,9.14,9.14,,-0.51%,2023-03-24
03/23/2023,9.19,9.19,9.19,9.19,,-0.85%,2023-03-23
03/22/2023,9.27,9.27,9.27,9.27,,7.06%,2023-03-22
03/21/2023,8.66,8.66,8.66,8.66,,-5.07%,2023-03-21
03/20/2023,9.12,9.12,9.12,9.12,,-4.32%,2023-03-20
03/17/2023,9.53,9.53,9.53,9.53,,10.06%,2023-03-17
03/16/2023,8.66,8.66,8.66,8.66,,2.04%,2023-03-16
03/15/2023,8.49,8.49,8.49,8.49,,1.52%,2023-03-15
03/14/2023,8.36,8.36,8.36,8.36,,0.40%,2023-03-14
03/13/2023,8.32,8.32,8.32,8.32,,-4.23%,2023-03-13
45202,8.69,8.69,8.69,8.69,,-0.58%,2023-10-03
45172,8.74,8.74,8.74,8.74,,0.45%,2023-09-03
45141,8.7,8.7,8.7,8.7,,1.19%,2023-08-03
45110,8.6,8.6,8.6,8.6,,-0.18%,2023-07-03
45080,8.62,8.62,8.62,8.62,,-2.27%,2023-06-03
44988,8.82,8.82,8.82,8.82,,-2.19%,2023-03-03
44960,9.02,9.02,9.02,9.02,,1.61%,2023-02-03
44929,8.87,8.87,8.87,8.87,,5.17%,2023-01-03
02/28/2023,8.44,8.44,8.44,8.44,,10.60%,2023-02-28
02/27/2023,7.63,7.63,7.63,7.63,,-12.17%,2023-02-27
02/24/2023,8.68,8.68,8.68,8.68,,-4.11%,2023-02-24
02/23/2023,9.06,9.06,9.06,9.06,,2.28%,2023-02-23
02/22/2023,8.86,8.86,8.86,8.86,,5.41%,2023-02-22
02/21/2023,8.4,8.4,8.4,8.4,,-6.40%,2023-02-21
02/20/2023,8.98,8.98,8.98,8.98,,3.18%,2023-02-20
02/17/2023,8.7,8.7,8.7,8.7,,-2.02%,2023-02-17
02/16/2023,8.88,8.88,8.88,8.88,,-6.08%,2023-02-16
02/15/2023,9.45,9.45,9.45,9.45,,-2.00%,2023-02-15
02/14/2023,9.65,9.65,9.65,9.65,,11.73%,2023-02-14
02/13/2023,8.63,8.63,8.63,8.63,,-6.81%,2023-02-13
45201,9.26,9.26,9.26,9.26,,-2.48%,2023-10-02
45171,9.5,9.5,9.5,9.5,,-0.85%,2023-09-02
45140,9.58,9.58,9.58,9.58,,-0.07%,2023-08-02
45109,9.59,9.59,9.59,9.59,,-3.65%,2023-07-02
45079,9.95,9.95,9.95,9.95,,1.79%,2023-06-02
44987,9.78,9.78,9.78,9.78,,3.59%,2023-03-02
44959,9.44,9.44,9.44,9.44,,2.54%,2023-02-02
44928,9.2,9.2,9.2,9.2,,-1.01%,2023-01-02
01/31/2023,9.3,9.3,9.3,9.3,,-0.40%,2023-01-31
01/30/2023,9.34,9.34,9.34,9.34,,-0.65%,2023-01-30
01/27/2023,9.4,9.4,9.4,9.4,,1.16%,2023-01-27
01/26/2023,9.29,9.29,9.29,9.29,,-1.19%,2023-01-26
01/25/2023,9.4,9.4,9.4,9.4,,-1.38%,2023-01-25
01/24/2023,9.53,9.53,9.53,9.53,,0.40%,2023-01-24
01/23/2023,9.49,9.49,9.49,9.49,,0.15%,2023-01-23
01/20/2023,9.48,9.48,9.48,9.48,,4.24%,2023-01-20
01/19/2023,9.09,9.09,9.09,9.09,,1.07%,2023-01-19
01/18/2023,9,9,9,9,,-1.58%,2023-01-18
01/17/2023,9.14,9.14,9.14,9.14,,-3.69%,2023-01-17
01/16/2023,9.49,9.49,9.49,9.49,,-4.47%,2023-01-16
01/13/2023,9.94,9.94,9.94,9.94,,10.01%,2023-01-13
45261,9.03,9.03,9.03,9.03,,0.48%,2023-12-01
45231,8.99,8.99,8.99,8.99,,2.97%,2023-11-01
45200,8.73,8.73,8.73,8.73,,-3.56%,2023-10-01
45170,9.05,9.05,9.05,9.05,,-0.34%,2023-09-01
45078,9.08,9.08,9.08,9.08,,-6.32%,2023-06-01
45047,9.7,9.7,9.7,9.7,,12.78%,2023-05-01
45017,8.6,8.6,8.6,8.6,,10.92%,2023-04-01
44986,7.75,7.75,7.75,7.75,,0.38%,2023-03-01
44958,7.72,7.72,7.72,7.72,,-24.76%,2023-02-01
12/30/2022,10.26,10.26,10.26,10.26,,2.84%,2022-12-30
12/29/2022,9.98,9.98,9.98,9.98,,0.61%,2022-12-29
12/28/2022,9.92,9.92,9.92,9.92,,2.69%,2022-12-28
12/27/2022,9.66,9.66,9.66,9.66,,3.40%,2022-12-27
12/26/2022,9.34,9.34,9.34,9.34,,0.72%,2022-12-26
12/23/2022,9.28,9.28,9.28,9.28,,9.67%,2022-12-23
12/22/2022,8.46,8.46,8.46,8.46,,-8.37%,2022-12-22
12/21/2022,9.23,9.23,9.23,9.23,,-3.58%,2022-12-21
12/20/2022,9.57,9.57,9.57,9.57,,0.27%,2022-12-20
12/19/2022,9.55,9.55,9.55,9.55,,-0.46%,2022-12-19
12/16/2022,9.59,9.59,9.59,9.59,,-0.77%,2022-12-16
12/15/2022,9.67,9.67,9.67,9.67,,0.59%,2022-12-15
12/14/2022,9.61,9.61,9.61,9.61,,3.10%,2022-12-14
12/13/2022,9.32,9.32,9.32,9.32,,-2.22%,2022-12-13
44907,9.53,9.53,9.53,9.53,,2.58%,2022-12-12
